iter	Passed	Remaining
533	7620	6649
534	7630	6632
535	7641	6614
536	7650	6596
537	7660	6578
538	7670	6560
539	7681	6543
540	7691	6525
541	7700	6507
542	7711	6489
543	7719	6471
544	7729	6452
545	7740	6435
546	7749	6417
547	7757	6398
548	7766	6379
549	7775	6361
550	7785	6344
551	7796	6327
552	7807	6311
553	7818	6293
554	7827	6276
555	7837	6258
556	7846	6240
557	7857	6224
558	7869	6208
559	7879	6191
560	7890	6174
561	7898	6156
562	7908	6138
563	7918	6121
564	7929	6105
565	7939	6087
566	7950	6071
567	7961	6054
568	7971	6038
569	7980	6020
570	7989	6002
571	7998	5984
572	8009	5968
573	8019	5951
574	8028	5933
575	8037	5916
576	8047	5899
577	8058	5883
578	8067	5866
579	8079	5850
580	8089	5834
581	8099	5816
582	8110	5801
583	8120	5784
584	8130	5767
585	8139	5750
586	8149	5734
587	8159	5717
588	8168	5699
589	8178	5683
590	8188	5666
591	8199	5650
592	8209	5634
593	8219	5618
594	8229	5601
595	8240	5585
596	8251	5569
597	8261	5553
598	8271	5537
599	8281	5521
600	8290	5504
601	8300	5487
602	8310	5471
603	8319	5454
604	8330	5438
605	8339	5422
606	8349	5405
607	8359	5389
608	8368	5373
609	8378	5356
610	8387	5339
611	8398	5324
612	8408	5308
613	8419	5292
614	8432	5278
615	8441	5261
616	8450	5245
617	8460	5229
618	8470	5213
619	8480	5197
620	8490	5182
621	8501	5166
622	8510	5150
623	8521	5134
624	8532	5119
625	8542	5103
626	8552	5087
627	8562	5072
628	8573	5056
629	8582	5040
630	8593	5025
631	8603	5009
632	8611	4992
633	8622	4977
634	8632	4962
635	8641	4945
636	8651	4930
637	8661	4914
638	8670	4898
639	8680	4882
640	8690	4867
641	8699	4851
642	8709	4835
643	8719	4820
644	8730	4805
645	8739	4789
646	8748	4773
647	8759	4758
648	8769	4742
649	8780	4727
650	8793	4714
651	8804	4699
652	8818	4686
653	8831	4672
654	8845	4659
655	8859	4645
656	8869	4630
657	8888	4619
658	8900	4605
659	8913	4591
660	8923	4576
661	8933	4561
662	8944	4546
663	8955	4531
664	8965	4516
665	8977	4502
666	8989	4487
667	8998	4472
668	9014	4460
669	9028	4447
670	9041	4433
671	9053	4418
672	9065	4404
673	9077	4390
674	9089	4376
675	9100	4362
676	9112	4347
677	9124	4333
678	9133	4317
679	9147	4304
680	9160	4290
681	9172	4276
682	9181	4261
683	9192	4246
684	9202	4231
685	9213	4217
686	9222	4201
687	9233	4187
688	9245	4173
689	9255	4158
690	9267	4144
691	9280	4130
692	9291	4116
693	9302	4101
694	9313	4087
695	9324	4072
696	9336	4058
697	9346	4044
698	9357	4029
699	9366	4014
700	9377	3999
701	9387	3984
702	9397	3970
703	9407	3955
704	9416	3940
705	9426	3925
706	9435	3910
707	9444	3895
708	9454	3880
709	9463	3865
710	9474	3850
711	9485	3836
712	9496	3822
713	9509	3809
714	9519	3794
715	9528	3779
716	9538	3764
717	9548	3750
718	9559	3735
719	9575	3723
720	9585	3709
721	9597	3695
722	9608	3681
723	9619	3667
724	9630	3652
725	9639	3637
726	9649	3623
727	9659	3608
728	9668	3594
729	9679	3580
730	9690	3565
731	9700	3551
732	9710	3536
733	9720	3522
734	9729	3508
735	9739	3493
736	9750	3479
737	9761	3465
738	9771	3451
739	9781	3436
740	9790	3422
741	9801	3408
742	9812	3394
743	9823	3380
744	9832	3365
745	9843	3351
746	9854	3337
747	9864	3323
748	9874	3309
749	9884	3294
750	9894	3280
751	9905	3266
752	9915	3252
753	9926	3238
754	9936	3224
755	9946	3210
756	9956	3196
757	9969	3183
758	9983	3169
759	9995	3156
760	10009	3143
761	10026	3131
762	10039	3118
763	10052	3105
764	10067	3092
765	10097	3084
766	10116	3073
767	10133	3061
768	10148	3048
769	10163	3035
770	10179	3023
771	10198	3012
772	10214	2999
773	10230	2987
774	10245	2974
775	10265	2963
776	10293	2954
777	10318	2944
778	10341	2933
779	10359	2921
780	10384	2911
781	10400	2899
782	10416	2886
783	10431	2873
784	10447	2861
785	10460	2847
786	10478	2835
787	10492	2822
788	10507	2810
789	10521	2796
790	10538	2784
791	10553	2771
792	10568	2758
793	10581	2745
794	10595	2732
795	10607	2718
796	10622	2705
797	10637	2692
798	10650	2679
799	10673	2668
800	10689	2655
801	10704	2642
802	10720	2630
803	10734	2616
804	10757	2605
805	10777	2593
806	10796	2581
807	10816	2570
808	10833	2557
809	10852	2545
810	10871	2533
811	10887	2520
812	10900	2507
813	10909	2492
814	10919	2478
815	10928	2464
816	10938	2450
817	10948	2436
818	10959	2422
819	10969	2407
820	10979	2393
821	10996	2381
822	11008	2367
823	11020	2353
824	11035	2340
825	11046	2326
826	11057	2313
827	11068	2299
828	11079	2285
829	11090	2271
830	11100	2257
831	11109	2243
832	11119	2229
833	11132	2215
834	11154	2204
835	11288	2214
836	11365	2213
837	11387	2201
838	11397	2187
839	11414	2174
840	11437	2162
841	11452	2148
842	11463	2134
843	11473	2120
844	11483	2106
845	11493	2092
846	11503	2077
847	11512	2063
848	11522	2049
849	11531	2035
850	11542	2020
851	11552	2006
852	11562	1992
853	11572	1978
854	11582	1964
855	11592	1950
856	11602	1936
857	11612	1921
858	11622	1907
859	11632	1893
860	11642	1879
861	11652	1865
862	11662	1851
863	11672	1837
864	11684	1823
865	11694	1809
866	11703	1795
867	11715	1781
868	11726	1767
869	11736	1753
870	11748	1739
871	11757	1725
872	11766	1711
873	11777	1697
874	11788	1684
875	11797	1669
876	11807	1656
877	11818	1642
878	11829	1628
879	11839	1614
880	11849	1600
881	11860	1586
882	11871	1572
883	11882	1559
884	11892	1545
885	11902	1531
886	11912	1517
887	11922	1503
888	11931	1489
889	11942	1476
890	11953	1462
891	11964	1448
892	11974	1434
893	11984	1420
894	11993	1407
895	12004	1393
896	12013	1379
897	12023	1365
898	12033	1351
899	12043	1338
900	12052	1324
901	12062	1310
902	12074	1297
903	12083	1283
904	12093	1269
905	12103	1255
906	12113	1242
907	12122	1228
908	12132	1214
909	12142	1200
910	12151	1187
911	12162	1173
912	12171	1159
913	12181	1146
914	12191	1132
915	12200	1118
916	12210	1105
917	12220	1091
918	12231	1078
919	12240	1064
920	12250	1050
921	12259	1037
922	12268	1023
923	12279	1009
924	12288	996
925	12299	982
926	12310	969
927	12320	955
928	12330	942
929	12341	928
930	12350	915
931	12360	901
932	12370	888
933	12380	874
934	12388	861
935	12398	847
936	12407	834
937	12418	820
938	12428	807
939	12438	793
940	12450	780
941	12461	767
942	12472	753
943	12483	740
944	12495	727
945	12505	713
946	12516	700
947	12530	687
948	12542	674
949	12545	660
950	12559	647
951	12562	633
952	12574	620
953	12583	606
954	12592	593
955	12601	579
956	12612	566
957	12623	553
958	12634	540
959	12642	526
960	12654	513
961	12664	500
962	12675	486
963	12685	473
964	12696	460
965	12704	447
966	12714	433
967	12724	420
968	12735	407
969	12747	394
970	12756	380
971	12765	367
972	12775	354
973	12785	341
974	12794	328
975	12803	314
976	12812	301
977	12822	288
978	12833	275
979	12843	262
980	12853	248
981	12862	235
982	12874	222
983	12882	209
984	12891	196
985	12900	183
986	12912	170
987	12923	156
988	12934	143
989	12944	130
990	12955	117
991	12964	104
992	12974	91
993	12985	78
994	12995	65
995	13005	52
996	13015	39
997	13025	26
998	13036	13
999	13047	0
